*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 10, 2021 14:49:00

*RUN   1        : 20 IRRIG, light rate,freq MZCER047 KSRT2001    1
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq MZCER047
  
! TAV  =    20.9
! TAMP =    13.4
!               Temperature (oC) by soil depth (cm):
!               Surface     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS    TS0D    TS1D    TS2D    TS3D    TS4D    TS5D    TS6D    TS7D    TS8D    
 2020 194    65    33.7    33.6    33.2    32.5    31.8    31.2    30.7    28.9    26.4
 2020 195    66    32.7    32.6    32.2    31.6    30.9    30.4    29.9    28.3    25.9
 2020 196    67    32.3    32.1    31.8    31.2    30.6    30.0    29.6    28.0    25.7
 2020 197    68    31.6    31.5    31.2    30.6    30.0    29.6    29.1    27.6    25.5
 2020 198    69    30.9    30.8    30.5    30.0    29.5    29.0    28.6    27.2    25.1
 2020 199    70    31.1    31.0    30.7    30.2    29.6    29.1    28.7    27.3    25.3
 2020 200    71    31.5    31.4    31.1    30.6    30.0    29.5    29.1    27.7    25.5
 2020 201    72    31.2    31.1    30.8    30.3    29.7    29.3    28.9    27.5    25.4
 2020 202    73    31.7    31.5    31.2    30.7    30.2    29.7    29.3    27.8    25.7
 2020 203    74    31.3    31.2    30.9    30.4    29.9    29.4    29.0    27.6    25.6
 2020 204    75    31.0    30.9    30.6    30.1    29.6    29.2    28.8    27.4    25.4
 2020 205    76    30.6    30.5    30.3    29.8    29.3    28.9    28.5    27.2    25.3
 2020 206    77    31.6    31.5    31.2    30.7    30.2    29.7    29.3    27.9    25.8
 2020 207    78    32.4    32.3    32.0    31.5    30.9    30.4    30.0    28.5    26.3
 2020 208    79    33.4    33.3    33.0    32.4    31.8    31.2    30.8    29.2    26.8
 2020 209    80    32.1    32.0    31.7    31.3    30.7    30.3    29.9    28.5    26.3
 2020 210    81    30.5    30.4    30.2    29.8    29.3    28.9    28.6    27.4    25.5
 2020 211    82    29.8    29.8    29.5    29.2    28.8    28.4    28.1    27.0    25.2
 2020 212    83    28.0    27.9    27.8    27.5    27.2    26.9    26.6    25.7    24.3
 2020 213    84    26.7    26.7    26.6    26.3    26.1    25.9    25.7    24.9    23.7
 2020 214    85    27.5    27.5    27.3    27.1    26.8    26.6    26.3    25.5    24.2
 2020 215    86    27.9    27.9    27.7    27.5    27.2    26.9    26.7    25.8    24.4
